conversation_id_str,created_at,favorite_count,full_text,id_str,image_url,in_reply_to_screen_name,lang,location,quote_count,reply_count,retweet_count,tweet_url,user_id_str,username;,processed_tweet
1857935798009737582,Sat Nov 16 23:56:27 +0000 2024,4.0,Polisi Sita Rp600 Juta dari Tiga DPO Tersangka Judi Online Libatkan Pegawai Komdigi https://t.co/4fmt6XNrlR,1.8579357980097372e+18,,,in,Indonesia,0.0,0.0,1.0,https://x.com/BeritakanID_com/status/1857935798009737582,1.5124834426003415e+18,BeritakanID_com;,polisi sita rp600 juta dpo tersangka judi online libatkan pegawai komdigi
"1857935395121672703,Sat Nov 16 23:54:54 +0000 2024,0, Laporkan konten judi melalui: https://t.co/DKj7bBO6Xn | WA: 0811-9224-545 WA Chatbot: 0811-1001-5080 Mari bersama wujudkan ruang digital yang sehat dan positif! #AntiJudiOnline #PemberantasanKontenNegatif #Komdigi #StopJudiOnline #JudiBikinBobol,1857935407964631198,,pemkotbekasi,in,""Bekasi, Jawa Barat"",0,0,0,https://x.com/pemkotbekasi/status/1857935407964631198,379647347,pemkotbekasi;",,,,,,,,,,,,,,,
1857935233729106375,Sat Nov 16 23:54:13 +0000 2024,4.0,Polda Metro Tangkap Tiga DPO Kasus Judi Online Libatkan Pegawai Komdigi https://t.co/SDGjJ3DXUT,1.8579352337291064e+18,,,in,Indonesia,0.0,0.0,0.0,https://x.com/BeritakanID_com/status/1857935233729106375,1.5124834426003415e+18,BeritakanID_com;,polda metro tangkap dpo judi online libatkan pegawai komdigi
"1857932099220812158,Sat Nov 16 23:44:11 +0000 2024,0, Laporkan konten judi melalui: https://t.co/SMID1PSv3t | WA: 0811-9224-545 WA Chatbot: 0811-1001-5080 Mari bersama wujudkan ruang digital yang sehat dan positif! #AntiJudiOnline #PemberantasanKontenNegatif #Komdigi #StopJudiOnline #JudiBikinBobol,1857932710175715433,,KominfoBekasi,in,""Bekasi Timur, Indonesia"",0,0,0,https://x.com/KominfoBekasi/status/1857932710175715433,831049702716026882,KominfoBekasi;",,,,,,,,,,,,,,,
1857932237603525098,Sat Nov 16 23:42:18 +0000 2024,0.0,#LaporpakPrabowo. Kasus judi Online kenapa yg di tangkap ekornya KOMDIGI terus. Kapan kepalanya di tangkap,1.857932237603525e+18,,,in,jakarta,0.0,0.0,0.0,https://x.com/dioaje/status/1857932237603525098,249596235.0,dioaje;,laporpakprabowo judi online yg tangkap ekornya komdigi kepalanya tangkap
1857040356983951528,Sat Nov 16 23:41:43 +0000 2024,0.0,@anugrahriski12 @islah_bahrawi @officialinews_ Judol donk biar jenderal pembeking dilupakan fokus komdigi kan gila,1.8579320901527268e+18,,anugrahriski12,in,,0.0,0.0,0.0,https://x.com/ASWSuwarno/status/1857932090152726778,1.5131883258881966e+18,ASWSuwarno;,judol donk biar jenderal pembeking dilupakan fokus komdigi gila
1857927509150720190,Sat Nov 16 23:23:31 +0000 2024,10.0,Polda Metro Kembali Tangkap 3 DPO Kasus Judi Online di Komdigi Total Sudah 22 Tersangka https://t.co/XsbnI15Qns,1.8579275091507205e+18,,,in,Jakarta,1.0,2.0,4.0,https://x.com/okezonenews/status/1857927509150720190,47274731.0,okezonenews;,polda metro tangkap 3 dpo judi online komdigi total 22 tersangka
1857927096972317126,Sat Nov 16 23:21:53 +0000 2024,5.0,Yg kakapnya belum ya Polisi Sebut 3 DPO Mafia Akses Judol Komdigi Ditangkap di Bandara https://t.co/PoyWrbtn0l,1.8579270969723167e+18,,,in,Indonesian,0.0,0.0,1.0,https://x.com/Bons631/status/1857927096972317126,1.3473193056464568e+18,Bons631;,yg kakapnya ya polisi 3 dpo mafia akses judol komdigi ditangkap bandara
1857926271138996661,Sat Nov 16 23:18:36 +0000 2024,87.0,Polisi Tangkap 3 DPO Bandar Situs Judi Online yang Dilindungi Oknum Komdigi Uang Rp 600 Juta Disita. Kapan Budi Arie diperiksa https://t.co/sg5tOe3fFs lewat @tribunnews,1.8579262711389967e+18,,,in,Indonesia,2.0,1.0,51.0,https://x.com/yaniarsim/status/1857926271138996661,9.292875582818304e+17,yaniarsim;,polisi tangkap 3 dpo bandar situs judi online dilindungi oknum komdigi uang rp 600 juta disita budi arie diperiksa
1857915051862274504,Sat Nov 16 22:34:01 +0000 2024,31.0,Ditangkap! Bandar Judi Online Libatkan Pegawai Komdigi Ngaku Setor Rp24 Juta Agar Tak Diblokir https://t.co/WCnROi4KZ0,1.8579150518622743e+18,,,in,Indonesia,1.0,2.0,15.0,https://x.com/geloraco/status/1857915051862274504,3319260420.0,geloraco;,ditangkap bandar judi online libatkan pegawai komdigi ngaku setor rp24 juta diblokir
